gene_a,gene_b,string_score,shared_pathways,pathway_names,clinvar_a,clinvar_b,clinvar_pair
BBS9,BBS4,999,6,R-BTA-5620922 | R-HSA-5620922 | R-DME-5620922,1.0,1.0,1.0
BBS9,BBS2,999,5,R-BTA-5620922 | R-HSA-5620922 | R-GGA-5620922,1.0,1.0,1.0
BBS2,BBS4,999,5,R-BTA-5620922 | R-HSA-5620922 | R-GGA-5620922,1.0,1.0,1.0
BBS9,BBS7,999,5,R-BTA-5620922 | R-HSA-5620922 | R-GGA-5620922,1.0,1.0,1.0
BBS2,BBS7,999,5,R-BTA-5620922 | R-HSA-5620922 | R-GGA-5620922,1.0,1.0,1.0
BBS7,BBS4,999,5,R-BTA-5620922 | R-HSA-5620922 | R-GGA-5620922,1.0,1.0,1.0
BBS4,BBS1,999,4,R-SSC-5620922 | R-CFA-5620922 | R-DME-5620922,1.0,1.0,1.0
BBS9,BBS1,999,4,R-SSC-5620922 | R-CFA-5620922 | R-DME-5620922,1.0,1.0,1.0
BBS2,BBS1,999,3,R-SSC-5620922 | R-CFA-5620922 | R-HSA-5620922,1.0,1.0,1.0
BBS7,BBS1,999,3,R-SSC-5620922 | R-CFA-5620922 | R-HSA-5620922,1.0,1.0,1.0
BBS2,MKKS,775,3,R-BTA-5620922 | R-CFA-5620922 | R-HSA-5620922,1.0,1.0,1.0
MKKS,BBS7,750,3,R-BTA-5620922 | R-CFA-5620922 | R-HSA-5620922,1.0,1.0,1.0
BBS7,BBS10,994,2,R-CFA-5620922 | R-HSA-5620922,1.0,1.0,1.0
BBS2,BBS10,987,2,R-CFA-5620922 | R-HSA-5620922,1.0,1.0,1.0
BBS1,BBS10,982,2,R-CFA-5620922 | R-HSA-5620922,1.0,1.0,1.0
BBS9,BBS10,976,2,R-CFA-5620922 | R-HSA-5620922,1.0,1.0,1.0
BBS4,BBS10,969,2,R-CFA-5620922 | R-HSA-5620922,1.0,1.0,1.0
MKKS,BBS10,929,2,R-CFA-5620922 | R-HSA-5620922,1.0,1.0,1.0
BBS1,ARL6,948,1,R-HSA-5620922,1.0,1.0,1.0
BBS7,ARL6,878,1,R-HSA-5620922,1.0,1.0,1.0
BBS9,ARL6,819,1,R-HSA-5620922,1.0,1.0,1.0
BBS2,ARL6,805,1,R-HSA-5620922,1.0,1.0,1.0
BBS4,ARL6,799,1,R-HSA-5620922,1.0,1.0,1.0
BBS4,CEP290,931,0,,1.0,1.0,1.0
BBS1,CEP290,921,0,,1.0,1.0,1.0
CEP290,BBS10,878,0,,1.0,1.0,1.0
BBS2,CEP290,874,0,,1.0,1.0,1.0
BBS9,CEP290,845,0,,1.0,1.0,1.0
BBS7,CEP290,826,0,,1.0,1.0,1.0
