gene_a,gene_b,string_score,shared_pathways,pathway_names,clinvar_a,clinvar_b,clinvar_pair,raw_score,digenic_score_normalized
BBS9,BBS4,999,6,R-BTA-5620922 | R-HSA-5620922 | R-DME-5620922,1.0,1.0,1.0,1.88387424,100.0
BBS2,BBS4,999,5,R-BTA-5620922 | R-HSA-5620922 | R-GGA-5620922,1.0,1.0,1.0,1.8370722,97.52
BBS7,BBS4,999,5,R-BTA-5620922 | R-HSA-5620922 | R-GGA-5620922,1.0,1.0,1.0,1.7368929473684211,92.2
BBS2,BBS7,999,5,R-BTA-5620922 | R-HSA-5620922 | R-GGA-5620922,1.0,1.0,1.0,1.448864013157895,76.91
BBS9,BBS2,999,5,R-BTA-5620922 | R-HSA-5620922 | R-GGA-5620922,1.0,1.0,1.0,1.3095595,69.51
BBS9,BBS7,999,5,R-BTA-5620922 | R-HSA-5620922 | R-GGA-5620922,1.0,1.0,1.0,1.2381465789473685,65.72
BBS4,BBS1,999,4,R-SSC-5620922 | R-CFA-5620922 | R-DME-5620922,1.0,1.0,1.0,1.1513205704347824,61.11
BBS4,BBS10,969,2,R-CFA-5620922 | R-HSA-5620922,1.0,1.0,1.0,1.07128764,56.87
BBS2,BBS10,987,2,R-CFA-5620922 | R-HSA-5620922,1.0,1.0,1.0,0.9102360750000001,48.32
BBS7,BBS10,994,2,R-CFA-5620922 | R-HSA-5620922,1.0,1.0,1.0,0.866702605263158,46.01
BBS9,BBS1,999,4,R-SSC-5620922 | R-CFA-5620922 | R-DME-5620922,1.0,1.0,1.0,0.8207204869565218,43.57
BBS9,BBS10,976,2,R-CFA-5620922 | R-HSA-5620922,1.0,1.0,1.0,0.7691856000000001,40.83
BBS2,BBS1,999,3,R-SSC-5620922 | R-CFA-5620922 | R-HSA-5620922,1.0,1.0,1.0,0.7202978217391303,38.23
BBS1,BBS10,982,2,R-CFA-5620922 | R-HSA-5620922,1.0,1.0,1.0,0.709460843478261,37.66
BBS7,BBS1,999,3,R-SSC-5620922 | R-CFA-5620922 | R-HSA-5620922,1.0,1.0,1.0,0.681018528604119,36.15
MKKS,BBS10,929,2,R-CFA-5620922 | R-HSA-5620922,1.0,1.0,1.0,0.49447223709677424,26.25
BBS2,MKKS,775,3,R-BTA-5620922 | R-CFA-5620922 | R-HSA-5620922,1.0,1.0,1.0,0.41167791666666664,21.85
MKKS,BBS7,750,3,R-BTA-5620922 | R-CFA-5620922 | R-HSA-5620922,1.0,1.0,1.0,0.3766725382003396,19.99
BBS4,ARL6,799,1,R-HSA-5620922,1.0,1.0,1.0,0.11659160190476192,6.19
BBS7,ARL6,878,1,R-HSA-5620922,1.0,1.0,1.0,0.10104536716791981,5.36
BBS2,ARL6,805,1,R-HSA-5620922,1.0,1.0,1.0,0.09798756018518519,5.2
BBS1,ARL6,948,1,R-HSA-5620922,1.0,1.0,1.0,0.09039896397515529,4.8
BBS9,ARL6,819,1,R-HSA-5620922,1.0,1.0,1.0,0.08519290000000002,4.52
BBS4,CEP290,931,0,,1.0,1.0,1.0,0.0,0.0
BBS1,CEP290,921,0,,1.0,1.0,1.0,0.0,0.0
CEP290,BBS10,878,0,,1.0,1.0,1.0,0.0,0.0
BBS2,CEP290,874,0,,1.0,1.0,1.0,0.0,0.0
BBS9,CEP290,845,0,,1.0,1.0,1.0,0.0,0.0
BBS7,CEP290,826,0,,1.0,1.0,1.0,0.0,0.0
